issn;journal_title;oa_model;apc;year
0889-5406;American Journal of Otolaryngology;Hybrid;3000;2007
0003-9861;Archives of Biochemistry and Biophysics;Hybrid;3000;2007
0004-3702;Artificial Intelligence;Hybrid;3000;2007
0927-6505;Astroparticle Physics;Hybrid;3000;2007
0165-4608;Cancer Genetics and Cytogenetics;Hybrid;3000;2007
0304-3835;Cancer Letters;Hybrid;3000;2007
1054-8807;Cardiovascular Pathology;Hybrid;3000;2007
1566-7367;Catalysis Communications;Hybrid;3000;2007
0143-4160;Cell Calcium;Hybrid;3000;2007
0008-8749;Cellular Immunology;Hybrid;3000;2007
0140-3664;Computer Communications;Hybrid;3000;2007
0166-218X;Discrete Applied Mathematics;Hybrid;3000;2007
1525-5050;Epilepsy and Behavior;Hybrid;3000;2007
0720-048X;European Journal of Radiology;Hybrid;3000;2007
0014-4827;Experimental Cell Research;Hybrid;3000;2007
0278-6915;Food and Chemical Toxicology;Hybrid;3000;2007
0888-7543;Genomics;Hybrid;3000;2007
0965-1748;Insect Biochemistry and Molecular Biology;Hybrid;3000;2007
0020-7519;International Journal of Parasitology;Hybrid;3000;2007
0885-064X;Journal of Complexity;Hybrid;3000;2007
0022-0000;Journal of Computer and System Sciences;Hybrid;3000;2007
1567-8326;Journal of Logic and Algebraic Programming;Hybrid;3000;2007
0022-2836;Journal of Molecular Biology;Hybrid;3000;2007
0747-7171;Journal of Symbolic Computation;Hybrid;3000;2007
0730-725X;Magnetic Resonance Imaging;Hybrid;3000;2007
0026-0495;Metabolism;Hybrid;3000;2007
1046-2023;Methods;Hybrid;3000;2007
0166-6851;Molecular and Biochemical Parasitology;Hybrid;3000;2007
0969-9961;Neurobiology of Disease;Hybrid;3000;2007
1053-8119;NeuroImage;Hybrid;3000;2007
0168-9002;Nuclear Instruments and Methods in Physics Research Section A;Hybrid;3000;2007
0375-9474;Nuclear Physics A;Hybrid;3000;2007
0550-3213;Nuclear Physics B;Hybrid;3000;2007
0920-5632;Nuclear Physics B - Proceedings Supplement;Hybrid;3000;2007
0899-9007;Nutrition;Hybrid;3000;2007
0887-8994;Pediatric Neurology;Hybrid;3000;2007
0370-2693;Physics Letters B;Hybrid;3000;2007
0167-6423;Science of Computer Programming;Hybrid;3000;2007
0039-6028;Surface Science;Hybrid;3000;2007
0955-2863;The Journal of Nutritional Biochemistry;Hybrid;3000;2007
0164-1212;The Journal of Systems and Software;Hybrid;3000;2007
0304-3975;Theoretical Computer Science;Hybrid;3000;2007
0042-6989;Vision Research;Hybrid;3000;2007
0889-5406;American Journal of Otolaryngology;Hybrid;3000;2008
0003-9861;Archives of Biochemistry and Biophysics;Hybrid;3000;2008
0004-3702;Artificial Intelligence;Hybrid;3000;2008
0927-6505;Astroparticle Physics;Hybrid;3000;2008
0165-4608;Cancer Genetics and Cytogenetics;Hybrid;3000;2008
0304-3835;Cancer Letters;Hybrid;3000;2008
1054-8807;Cardiovascular Pathology;Hybrid;3000;2008
1566-7367;Catalysis Communications;Hybrid;3000;2008
0143-4160;Cell Calcium;Hybrid;3000;2008
0008-8749;Cellular Immunology;Hybrid;3000;2008
0140-3664;Computer Communications;Hybrid;3000;2008
0301-4681;Differentiation;Hybrid;3000;2008
0166-218X;Discrete Applied Mathematics;Hybrid;3000;2008
1525-5050;Epilepsy and Behavior;Hybrid;3000;2008
0720-048X;European Journal of Radiology;Hybrid;3000;2008
0014-4827;Experimental Cell Research;Hybrid;3000;2008
0014-5793;FEBS Letters;Hybrid;3000;2008
0278-6915;Food and Chemical Toxicology;Hybrid;3000;2008
0378-1119;Gene;Hybrid;3000;2008
0888-7543;Genomics;Hybrid;3000;2008
0965-1748;Insect Biochemistry and Molecular Biology;Hybrid;3000;2008
0020-7519;International Journal of Parasitology;Hybrid;3000;2008
1743-9191;International Journal of Surgery;Hybrid;3000;2008
0885-064X;Journal of Complexity;Hybrid;3000;2008
0022-0000;Journal of Computer and System Sciences;Hybrid;3000;2008
1567-8326;Journal of Logic and Algebraic Programming;Hybrid;3000;2008
0022-2836;Journal of Molecular Biology;Hybrid;3000;2008
1047-8477;Journal of Structural Biology;Hybrid;3000;2008
0747-7171;Journal of Symbolic Computation;Hybrid;3000;2008
0730-725X;Magnetic Resonance Imaging;Hybrid;3000;2008
0026-0495;Metabolism;Hybrid;3000;2008
1046-2023;Methods;Hybrid;3000;2008
0166-6851;Molecular and Biochemical Parasitology;Hybrid;3000;2008
1096-7192;Molecular Genetics and Metabolism;Hybrid;3000;2008
1574-7891;Molecular Oncology;Hybrid;3000;2008
0969-9961;Neurobiology of Disease;Hybrid;3000;2008
1053-8119;NeuroImage;Hybrid;3000;2008
0168-9002;Nuclear Instruments and Methods in Physics Research Section A;Hybrid;3000;2008
0375-9474;Nuclear Physics A;Hybrid;3000;2008
0550-3213;Nuclear Physics B;Hybrid;3000;2008
