issn;journal_title;oa_mode;apc;year
1572-0241;American Journal of Gastroenterology;Hybrid;3200;2010
0895-7061;American Journal of Hypertension;Hybrid;3200;2010
0268-3369;Bone Marrow Transplantation;Hybrid;3300;2010
1532-1827;British Journal of Cancer;Hybrid;2620;2010
0929-1903;Cancer Gene Therapy;Hybrid;3000;2010
1469-3178;EMBO reports;Hybrid;3900;2010
0954-3007;European Journal of Clinical Nutrition;Hybrid;3900;2010
1476-5438;European Journal of Human Genetics;Hybrid;3000;2010
0969-7128;Gene Therapy;Hybrid;3000;2010
1466-4879;Genes & Immunity;Hybrid;3000;2010
0018-067X;Heredity;Hybrid;3300;2010
0955-9930;International Journal of Impotence Research;Hybrid;3000;2010
0307-0565;International Journal of Obesity;Hybrid;3000;2010
0271-678X;Journal of Cerebral Blood Flow & Metabolism;Hybrid;3300;2010
1559-064X;Journal of Exposure Science and Environmental Epidemiology;Hybrid;2500;2010
0950-9240;Journal of Human Hypertension;Hybrid;3000;2010
0022-202X;Journal of Investigative Dermatology;Hybrid;3000;2010
0743-8346;Journal of Perinatology;Hybrid;3000;2010
0085-2538;Kidney International;Hybrid;3000;2010
1530-0307;Laboratory Investigation;Hybrid;3000;2010
1476-5551;Leukemia;Hybrid;3200;2010
1530-0285;Modern Pathology;Hybrid;3300;2010
1359-4184;Molecular Psychiatry;Hybrid;3200;2010
1525-0016 ;Molecular Therapy;Hybrid;3000;2010
1935-3456;Mucosal Immunology;Hybrid;3000;2010
1740-634X;Neuropsychopharmacology;Hybrid;3200;2010
1930-7381;Obesity;Hybrid;3200;2010
0950-9232;Oncogene;Hybrid;3200;2010
1365-7852;Prostate Cancer;Hybrid;3300;2010
1460-2075;The EMBO Journal;Hybrid;3000;2010
1751-7370;The ISME Journal;Hybrid;3000;2010
1473-1150;The Pharmacogenomics Journal;Hybrid;3000;2010
0895-7061;American Journal of Hypertension;Hybrid;3200;2011
1532-1827;BJC (British Journal of Cancer);Hybrid;2620;2011
2044-5385;Blood Cancer Journal ;Open Access;1000;2011
0268-3369;Bone Marrow Transplantation;Hybrid;3300;2011
0929-1903;Cancer Gene Therapy;Hybrid;3000;2011
1350-9047;Cell Death & Differentiation;Hybrid;3000;2011
2041-4889;Cell Death & Disease;Open Access;3000;2011
1748-7838;Cell Research;Hybrid;3300;2011
2155-384X;Clinical & Translational Gastroenterology;Open Access;3200;2011
1469-3178;EMBO reports;Hybrid;3900;2011
0954-3007;European Journal of Clinical Nutrition;Hybrid;3000;2011
1476-5438;European Journal of Human Genetics;Hybrid;3000;2011
0078-5334;Eye;Hybrid;3300;2011
0969-7128;Gene Therapy;Hybrid;3000;2011
1466-4879;Genes and Immunity;Hybrid;3300;2011
0018-067X;Heredity;Hybrid;3000;2011
1348-4214;Hypertension Research;Hybrid;3300;2011
0818-9641;Immunology & Cell Biology;Hybrid;3300;2011
0955-9930;International Journal of Impotence Research;Hybrid;3000;2011
0307-0565;International Journal of Obesity;Hybrid;3300;2011
0271-678X;Journal of Cerebral Blood Flow & Metabolism;Hybrid;2500;2011
1559-064X;Journal of Exposure Science and Environmental Epidemiology;Hybrid;3000;2011
0950-9240;Journal of Human Hypertension;Hybrid;3000;2011
0022-202X;Journal of Investigative Dermatology;Hybrid;3000;2011
0743-8346;Journal of Perinatology;Hybrid;3000;2011
0085-2538;Kidney International;Hybrid;3000;2011
1530-0307;Laboratory Investigation;Hybrid;3200;2011
1476-5551;Leukemia;Hybrid;3300;2011
1530-0285;Modern Pathology;Hybrid;3200;2011
1359-4184;Molecular Psychiatry;Hybrid;3000;2011
1744-4292;Molecular Systems Biology;Open Access;3900;2011
1525-0016 ;Molecular Therapy;Hybrid;3000;2011
1935-3456;Mucosal Immunology;Hybrid;3200;2011
2041-1723;Nature Communications;Hybrid;5000;2011
1740-634X;Neuropsychopharmacology;Hybrid;3200;2011
2044-4052;Nutrition & Diabetes;Open Access;3300;2011
1930-7381;Obesity;Hybrid;3200;2011
0950-9232;Oncogene;Hybrid;3300;2011
2157-9024;Oncogenesis;Open Access;3300;2011
1365-7852;Prostate Cancer and Prostatic Diseases;Hybrid;3000;2011
2045-2322;Scientific Reports;Open Access;1350;2011
1572-0241;The American Journal of Gastroenterology;Hybrid;3200;2011
1460-2075;The EMBO Journal;Hybrid;3900;2011
1751-7370;The ISME Journal;Hybrid;3000;2011
1473-1150;The Pharmacogenomics Journal;Hybrid;3000;2011
2158-3188;Translational Psychiatry ;Open Access;3000;2011
