issn;journal_title;oa_mode;apc;year
1745-7270;Acta Biochimica et Biophysica Sinica;Hybrid;3040;2019
1755-0645;Adaptation;Hybrid;2814;2019
2161-8313;Advances in Nutrition;Hybrid;5000;2019
1090-820X;Aesthetic Surgery Journal;Hybrid;3360;2019
0001-9909;African Affairs;Hybrid;3260;2019
0002-0729;Age and Ageing;Hybrid;3570;2019
0735-0414;Alcohol and Alcoholism;Hybrid;3749;2019
0002-9092;American Journal of Agricultural Economics;Hybrid;3308;2019
0002-9173;American Journal of Clinical Pathology;Hybrid;2600;2019
0002-919X;American Journal of Comparative Law;Hybrid;2884;2019
0002-9262;American Journal of Epidemiology;Hybrid;3833;2019
0895-7061;American Journal of Hypertension;Hybrid;3760;2019
0002-9319;American Journal of Legal History;Hybrid;3308;2019
1465-7252;American Law and Economics Review;Hybrid;2940;2019
0896-7148;American Literary History;Hybrid;3360;2019
2160-6064;Animal Frontiers;Open Access;0;2019
0883-6612;Annals of Behavioral Medicine;Hybrid;2100;2019
0305-7364;Annals of Botany;Hybrid;2952;2019
2041-2851;Annals of Botany Plants;Open Access;1350;2019
0923-7534;Annals of Oncology;Hybrid;3500;2019
2398-7308;Annals of Work Exposures and Health;Hybrid;3150;2019
2516-4236;Antibody Therapeutics;Open Access;1750;2019
2040-5790;Applied Economic Perspectives and Policy;Hybrid;3308;2019
0142-6001;Applied Linguistics;Hybrid;4000;2019
1873-5843;Archives of Clinical Neuropsychology;Hybrid;3520;2019
0309-7013;Aristotelian Society Supplementary Volume;Hybrid;3245;2019
2155-9856;Arthropod Management Tests;Open Access;293;2019
1045-2249;Behavioral Ecology;Hybrid;3150;2019
1367-4803;Bioinformatics;Hybrid;3150;2019
0024-4066;Biological Journal of the Linnean Society;Hybrid;2940;2019
2396-8923;Biology Methods and Protocols;Open Access;840;2019
0006-3363;Biology of Reproduction;Hybrid;3150;2019
0006-3444;Biometrika;Hybrid;3087;2019
0006-3568;BioScience;Hybrid;3750;2019
0006-3568;BioScience;Hybrid;3750;2019
1465-4644;Biostatistics;Hybrid;1680;2019
0024-4074;Botanical Journal of the Linnean Society;Hybrid;2940;2019
0006-8950;Brain;Hybrid;4100;2019
1477-4054;Briefings in Bioinformatics;Hybrid;3308;2019
2041-2657;Briefings in Functional Genomics;Hybrid;3308;2019
0007-1420;British Medical Bulletin;Hybrid;3570;2019
0068-2691;British Yearbook of International Law;Hybrid;3308;2019
0309-166X;Cambridge Journal of Economics;Hybrid;3749;2019
1752-1378;Cambridge Journal of Regions, Economy and Society;Hybrid;2812;2019
1750-7219;Capital Markets Law Journal;Hybrid;3308;2019
0143-3334;Carcinogenesis;Hybrid;3528;2019
0008-6363;Cardiovascular Research;Hybrid;3938;2019
1047-3211;Cerebral Cortex;Hybrid;4025;2019
1610-241X;CESifo Economic Studies;Hybrid;2880;2019
1540-1650;Chinese Journal of International Law;Hybrid;3040;2019
1380-3603;Christian bioethics: Non-Ecumenical Studies in Medical Morality;Hybrid;2800;2019
1759-5142;Classical Receptions Journal;Hybrid;2700;2019
2515-396X;Clean Energy;Open Access;0;2019
2048-8513;Clinical Kidney Journal ;Open Access;1874;2019
1050-3293;Communication Theory;Hybrid;3150;2019
1753-9129;Communication, Culture, and Critique;Hybrid;3150;2019
0010-3802;Community Development Journal;Hybrid;3210;2019
2051-1434;Conservation Physiology;Open Access;1750;2019
1754-1476;Contemporary Women's Writing;Hybrid;3087;2019
0277-5921;Contributions to Political Economy;Hybrid;3749;2019
2631-827X;Crohn's & Colitis 360;Open Access;2500;2019
2475-2991;Current Developments in Nutrition;Open Access;3300;2019
0070-1998;Current Legal Problems;Hybrid;3308;2019
2396-9814;Current Zoology;Open Access;1440;2019
1758-0463;Database;Open Access;1680;2019
2055-7671;Digital Scholarship in the Humanities;Hybrid;3200;2019
1120-8694;Diseases of the Esophagus;Hybrid;3308;2019
1340-2838;DNA Research;Open Access;787;2019
2059-6987;Dynamics and Statistics of the Climate System ;Open Access;N/A;2019
0306-1078;Early Music;Hybrid;3360;2019
0951-0893;ELT Journal;Hybrid;4000;2019
0013-8215;English: Journal of the English Association;Hybrid;3087;2019
2058-5888;Environmental Epigenetics;Open Access;1848;2019
1084-5453;Environmental History;Hybrid;1700;2019
1099-5129;EP Europace;Hybrid;3983;2019
1478-6729;Epidemiologic Reviews;Hybrid;3570;2019
0014-0856;Essays in Criticism;Hybrid;3360;2019
0195-668X;European Heart Journal;Hybrid;3938;2019
