issn;journal_title;oa_mode;apc;year
1740-2557;Autoimmune Diseases;Open Access;;2010
2090-0597;Cardiology Research and Practice;Open Access;;2010
2090-0414;Enzyme Research;Open Access;;2010
1757-4242;Human Genomics and Proteomics;Open Access;;2010
2090-8024;International Journal of Alzheimer's Disease;Open Access;;2010
2090-8032;International Journal of Evolutionary Biology;Open Access;;2010
2090-0384;International Journal of Hypertension;Open Access;;2010
2042-0099;International Journal of Inflammation;Open Access;;2010
2090-214X;International Journal of Nephrology;Open Access;;2010
2090-2212;Journal of Aging Research;Open Access;;2010
2090-0104;Journal of Amino Acids;Open Access;;2010
1758-7360;Journal of Dental Biomechanics;Open Access;;2010
2090-021X;Journal of Nucleic Acids;Open Access;;2010
2090-8059;Journal of Osteoporosis;Open Access;;2010
2090-8067;Journal of Thyroid Research;Open Access;;2010
2041-7314;Journal of Tissue Engineering;Open Access;;2010
2090-8075;Malaria Research and Treatment;Open Access;;2010
2090-2190;Molecular Biology International;Open Access;;2010
2090-8083 ;Parkinson's Disease;Open Access;;2010
2042-003X;Pathology Research International;Open Access;;2010
1687-9678 ;Stem Cells International;Open Access;;2010
2042-0056;Stroke Research and Treatment;Open Access;;2010
2090-8113;Veterinary Medicine International;Open Access;;2010
1741-2633;Adaptive Behaviour;Hybrid;3000;2011
1527-330X;Aesthetic Surgery Journal;Hybrid;3000;2011
1938-2731;American Journal of Alzheimer's Disease and Other Dementias;Hybrid;3000;2011
1938-2715;American Journal of Hospice and Palliative Medicine;Hybrid;3000;2011
1559-8284;American Journal of Lifestyle Medicine;Hybrid;3000;2011
1555-824X;American Journal of Medical Quality;Hybrid;3000;2011
1557-9891;American Journal of Men's Health;Hybrid;3000;2011
1552-3365;American Journal of Sports Medicine;Hybrid;3000;2011
1940-1574;Angiology;Hybrid;3000;2011
1941-2479;Asia Pacific Journal of Public Health;Hybrid;3000;2011
1816-5370;Asian Cardiovascular and Thoracic Annals;Hybrid;3000;2011
1461-7005;Autism;Hybrid;3000;2011
1552-4175;Biological Research for Nursing;Hybrid;3000;2011
1744-5809;British Journal of Visual Impairment;Hybrid;3000;2011
2150-1335;Cardiac Cath Lab Director;Hybrid;3000;2011
1947-6043;Cartilage;Hybrid;3000;2011
1468-2982;Cephalalgia;Hybrid;3000;2011
1477-0865;Child Language Teaching and Therapy;Hybrid;3000;2011
1745-9206;Chronic Illness;Hybrid;3000;2011
1479-9731;Chronic Respiratory Disease;Hybrid;3000;2011
1530-812X;Clin-Alert;Hybrid;3000;2011
1938-2723;Clinical and Applied Thrombosis/Hemostasis;Hybrid;3000;2011
1461-7021;Clinical Child Psychology and Psychiatry;Hybrid;3000;2011
1552-3799;Clinical Nursing Research;Hybrid;3000;2011
1938-2707;Clinical Pediatrics;Hybrid;3000;2011
1477-0873;Clinical Rehabilitation;Hybrid;3000;2011
1740-7753;Clinical Trials;Hybrid;3000;2011
1531-2003;Concurrent Engineering;Hybrid;3000;2011
1461-7056;Culture & Psychology;Hybrid;3000;2011
1741-2684;Dementia;Hybrid;3000;2011
1752-8984;Diabetes and Vascular Disease Research;Hybrid;3000;2011
1754-0747;Emotion Review;Hybrid;3000;2011
1552-3918;Evaluation and the Health Professions;Hybrid;3000;2011
2473-0114;Foot & Ankle Specialist;Hybrid;3000;2011
1947-6027;Genes & Cancer;Hybrid;3000;2011
2151-4593;Geriatric Orthopedic Surgery & Rehabilitation;Hybrid;3000;2011
1757-9767;Global Health Promotion;Hybrid;3000;2011
1461-7188;Group Processes & Intergroup Relations;Hybrid;3000;2011
1552-6127;Health Education & Behavior;Hybrid;3000;2011
1748-8176;Health Education Journal;Hybrid;3000;2011
1741-2811;Health Informatics Journal;Hybrid;3000;2011
1552-6372;Health Promotion Practice;Hybrid;3000;2011
1461-7196;Health: An Interdisciplinary Journal;Hybrid;3000;2011
1361-6412;High Performance Polymers;Hybrid;3000;2011
1740-2360;History of Psychiatry;Hybrid;3000;2011
1461-720X;History of the Human Sciences;Hybrid;3000;2011
1552-6739;Home Health Care Management & Practice;Hybrid;3000;2011
1477-0903;Human & Experimental Toxicology;Hybrid;3000;2011
1423-0070;Indoor and Built Environment;Hybrid;3000;2011
1941-4072;Infant, Child, & Adolescent Nutrition;Hybrid;3000;2011
1753-4267;Innate Immunity;Hybrid;3000;2011
1552-695X;Integrative Cancer Therapies;Hybrid;3000;2011
1944-4524;Intensive Care Unit Director;Hybrid;3000;2011
1464-0651;International Journal of Behavioral Development International Journal of Damage Mechanics;Hybrid;3000;2011
2041-3149;International Journal of Engine Research;Hybrid;3000;2011
1741-2846;International Journal of High Performance Computing Applications;Hybrid;3000;2011
1552-6941;International Journal of Lower Extremity Wounds;Hybrid;3000;2011
1741-3176;International Journal of Robotics Research;Hybrid;3000;2011
1741-2854;International Journal of Social Psychiatry;Hybrid;3000;2011
1940-2465;International Journal of Surgical Pathology;Hybrid;3000;2011
1092-874X;International Journal of Toxicology;Hybrid;3000;2011
1552-6887;Journal of Aging and Health;Hybrid;3000;2011
