issn;journal_title;oa_mode;apc;year
1687-1847;Advances in Difference Equations;Open Access;710;2011
2191-0855;AMB Express;Open Access;2140;2011
2110-5820;Annals of Intensive Care;Open Access;1785;2011
2190-5517;Applied Nanoscience;Open Access;0;2011
2190-5533;Applied Petrochemical Research;Open Access;0;2011
2190-5495;Applied Water Science;Open Access;0;2011
2190-5738;3 Biotech;Open Access;0;2011
1687-2770;Boundary Value Problems;Open Access;715;2011
1664-3615;Bulletin of Mathematical Sciences;Open Access;0;2011
1861-9541;Chinese Science Bulletin;Open Access;0;2011
2192-1709;Ecological Processes;Open Access;1130;2011
2191-219X;EJNMMI Research;Open Access;1595;2011
2192-0567;Energy, Sustainability and Society;Open Access;1100;2011
2190-4715;Environmental Sciences Europe;Open Access;1140;2011
1687-6180;EURASIP Journal on Advances in Signal Processing;Open Access;1415;2011
1687-4722;EURASIP Journal on Audio, Speech, and Music Processing;Open Access;710;2011
1687-4153;EURASIP Journal on Bioinformatics and Systems Biology;Open Access;705;2011
1687-3963;EURASIP Journal on Embedded Systems;Open Access;1015;2011
1687-5281;EURASIP Journal on Image and Video Processing;Open Access;965;2011
1687-4161;EURASIP Journal on Information Security;Open Access;690;2011
1687-1499;EURASIP Journal on Wireless Communications and Networking;Open Access;1420;2011
1866-8887;European Transport Research Review;Open Access;0;2011
1687-1812;Fixed Point Theory and Applications;Open Access;845;2011
2190-7579;Gold Bulletin;Open Access;0;2011
2191-1991;Health Economics Review;Open Access;1060;2011
2192-6395;International Journal of Disaster Risk Science;Open Access;0;2011
1865-1380;International Journal of Emergency Medicine;Open Access;1400;2011
2191-5040;Journal of Applied Volcanology;Open Access;1375;2011
2192-113X;Journal of Cloud Computing: Advances, Systems and Applications;Open Access;850;2011
1029-242X;Journal of Inequalities and Applications;Open Access;825;2011
2190-5983;Journal of Mathematics in Industry;Open Access;1400;2011
1869-5760;Journal of Ophthalmic Inflammation and Infection;Open Access;0;2011
1590-9999;Journal of Orthopaedics and Traumatology;Open Access;0;2011
2190-0566;Journal of Petroleum Exploration and Production Technologies;Open Access;0;2011
2210-4690;Journal of Remanufacturing;Open Access;1085;2011
2191-5059;Multilingual Education;Open Access;1080;2011
1556-276X;Nanoscale Research Letters;Open Access;1140;2011
2192-2209;Natural Products and Bioprospecting;Open Access;0;2011
2192-2853;Optical Nanoscopy;Open Access;1160;2011
2191-2858;Organic and Medicinal Chemistry Letters;Open Access;1425;2011
2041-7136;Pastoralism: Research, Policy and Practice;Open Access;1425;2011
2190-7439;Photonic Sensors;Open Access;0;2011
2191-2521;Planetary Science;Open Access;1350;2011
1615-6617;Poiesis & Praxis;Open Access;0;2011
2211-1522;Psychology of Well-Being: Theory, Research and Practice;Open Access;1140;2011
1862-2798;Science China Life Sciences;Open Access;0;2011
2190-8532;Security Informatics;Open Access;1140;2011
1869-4187;SERIEs;Open Access;0;2011
1828-8928;Strategies in Trauma and Limb Reconstruction;Open Access;0;2011
1129-2377;The Journal of Headache and Pain;Open Access;0;2011
2190-8567;The Journal of Mathematical Neuroscience;Open Access;1425;2011
2190-5738;3 Biotech ;Open Access;660;2012
1687-1847;Advances in Difference Equations;Open Access;125;2012
2193-7532;Agricultural and Food Economics;Open Access;1880;2012
2191-0855;AMB Express;Open Access;1570;2012
2110-5820;Annals of Intensive Care;Open Access;0;2012
2190-5517;Applied Nanoscience ;Open Access;0;2012
2190-5533;Applied Petrochemical Research;Open Access;0;2012
2190-5495;Applied Water Science ;Open Access;0;2012
2193-5351;Arabian Journal of Mathematics ;Open Access;660;2012
1687-2770;Boundary Value Problems;Open Access;0;2012
1664-3615;Bulletin of Mathematical Sciences ;Open Access;0;2012
1861-9541;Chinese Science Bulletin ;Open Access;1570;2012
2001-1326;Clinical and Translational Medicine;Open Access;860;2012
2192-1121;Communications in Mobile Computing;Open Access;1005;2012
2193-7680;Crime Science;Open Access;0;2012
2036-7902;Critical Ultrasound Journal ;Open Access;1005;2012
2193-8636;Decision Analytics;Open Access;1005;2012
2192-1709;Ecological Processes;Open Access;1380;2012
2191-219X;EJNMMI Research;Open Access;1005;2012
2192-0567;Energy, Sustainability and Society;Open Access;1005;2012
2190-4715;Environmental Sciences Europe;Open Access;1005;2012
2193-2697;Environmental Systems Research;Open Access;1255;2012
2193-1127;EPJ Data Science;Open Access;1315;2012
1687-6180;EURASIP Journal on Advances in Signal Processing;Open Access;940;2012
1687-4722;EURASIP Journal on Audio, Speech, and Music Processing;Open Access;625;2012
1687-4153;EURASIP Journal on Bioinformatics and Systems Biology;Open Access;880;2012
1687-3963;EURASIP Journal on Embedded Systems;Open Access;940;2012
1687-5281;EURASIP Journal on Image and Video Processing;Open Access;625;2012
1687-4161;EURASIP Journal on Information Security;Open Access;1315;2012
1687-1499;EURASIP Journal on Wireless Communications and Networking;Open Access;0;2012
1866-8887;European Transport Research Review ;Open Access;1255;2012
2193-0414;Fire Science Reviews;Open Access;790;2012
1687-1812;Fixed Point Theory and Applications;Open Access;0;2012
2190-7579;Gold Bulletin ;Open Access;1005;2012
2191-1991;Health Economics Review;Open Access;0;2012
2192-1962;Human-centric Computing and Information Sciences ;Open Access;1255;2012
2193-9616;In Silico Pharmacology;Open Access;0;2012
1869-4101;Insights into Imaging ;Open Access;1500;2012
2193-9772;Integrating Materials and Manufacturing Innovation;Open Access;0;2012
2008-6970;International Aquatic Research ;Open Access;0;2012
2008-6695;International Journal of Advanced Structural Engineering ;Open Access;0;2012
2234-1315;International Journal of Concrete Structures and Materials ;Open Access;0;2012
2192-6395;International Journal of Disaster Risk Science ;Open Access;1350;2012
1865-1380;International Journal of Emergency Medicine;Open Access;0;2012
2251-6832;International Journal of Energy and Environmental Engineering ;Open Access;0;2012
2228-5547;International Journal of Industrial Chemistry ;Open Access;0;2012
2251-7715;International Journal Of Recycling of Organic Waste in Agriculture  ;Open Access;0;2012
2228-5326;International Nano Letters ;Open Access;1255;2012
2191-5040;Journal of Applied Volcanology;Open Access;755;2012
2192-113X;Journal of Cloud Computing: Advances, Systems and Applications;Open Access;1250;2012
2194-3990;Journal of Computational Surgery;Open Access;1065;2012
2193-2409;Journal of Economic Structures;Open Access;0;2012
