issn;journal_title;oa_mode;apc;year;;;
1545-5815;Accountability in Research;Hybrid;3250;2012;;;
1651-1972;Acta Agriculturae Scandinavica, Section B - Plant Soil Science;Hybrid;3250;2012;;;
1651-1913;Acta Agriculturae Scandinavica, Section C- Food Economics;Hybrid;3250;2012;;;
1503-111X;Acta Borealia, A Nordic Journal of Circumpolar Societies;Hybrid;3250;2012;;;
1949-0763;Acta Linguistica Hafniensia: International Journal of Linguistics;Hybrid;3250;2012;;;
1544-4368;Activities, Adaptation & Aging;Hybrid;3250;2012;;;
1544-4376;Administration In Social Work;Hybrid;3250;2012;;;
1544-452X;Adoption Quarterly;Hybrid;3250;2012;;;
1756-2201;Advances in Building Energy Research;Hybrid;3250;2012;;;
1947-573X;Advances in Oceanography and Limnology;Hybrid;3250;2012;;;
1521-7388;Aerosol Science and Technology;Hybrid;3250;2012;;;
1727-9445;African Journal Of Aids Research;Hybrid;3250;2012;;;
1364-6915;Aging and Mental Health;Hybrid;3250;2012;;;
1744-4128;Aging, Neuropsychology, and Cognition;Hybrid;3250;2012;;;
1360-0451;AIDS Care;Hybrid;3250;2012;;;
2150-7759;AJOB Neuroscience;Hybrid;3250;2012;;;
2150-7724;AJOB Primary Research;Hybrid;3250;2012;;;
1752-0754;Alcheringa: An Australasian Journal of Palaeontology;Hybrid;3250;2012;;;
1544-4538;Alcoholism Treatment Quarterly;Hybrid;3250;2012;;;
1536-0075;American Journal Of Bioethics;Hybrid;3250;2012;;;
0192-6187;American Journal of Family Therapy;Hybrid;3250;2012;;;
1548-7776;American Journal of Psychiatric Rehabilitation (Formerly Psychiatric Rehabilitation Skills);Hybrid;3250;2012;;;
1554-6136;American Journal Of Sexuality Education;Hybrid;3250;2012;;;
1532-4826;Applied Neuropsychology;Hybrid;3250;2012;;;
2162-2973;Applied Neuropsychology: Child;Hybrid;3250;2012;;;
1752-7589;Architectural Engineering and Design Management;Hybrid;3250;2012;;;
1758-9622;Architectural Science Review;Hybrid;3250;2012;;;
1543-6136;Archives of Suicide Research;Hybrid;3250;2012;;;
1946-2174;Argument & Computation;Hybrid;3250;2012;;;
1532-4990;Arid Land Research and Management;Hybrid;3250;2012;;;
1753-3023;Arts & Health;Hybrid;3250;2012;;;
1469-2953;Asia Pacific Journal Of Counselling And Psychotherapy;Hybrid;3250;2012;;;
2158-1762;Asian Ethnicity;Hybrid;3250;2012;;;
1744-1749;Asian Journal of Communication;Hybrid;3250;2012;;;
1744-1749;Asian Population Studies;Hybrid;3250;2012;;;
1055-6796;Astronomical and Astrophysical Transactions;Hybrid;3250;2012;;;
1480-9214;Atmosphere and Ocean;Hybrid;3250;2012;;;
1469-2988;Attachment & Human Development;Hybrid;3250;2012;;;
1471-6828;Australasian Journal of Philosophy;Hybrid;3250;2012;;;
1447-0748;Australian Social Work;Hybrid;3250;2012;;;
1465-3338;Avian Pathology;Hybrid;3250;2012;;;
1822-4180;Aviation:;Hybrid;3250;2012;;;
1532-4834;Basic and Applied Social Psychology;Hybrid;3250;2012;;;
1362-3001;Behavior & information Technology;Hybrid;3250;2012;;;
1940-4026;Behavioral Medicine;Hybrid;3250;2012;;;
1943-4480;Behavioral Sciences of Terrorism and Political Aggression;Hybrid;3250;2012;;;
1540-2010;Behavioral Sleep Medicine;Hybrid;3250;2012;;;
1944-8279;Bereavement Care;Hybrid;3250;2012;;;
2165-0586;Bioacoustics;Hybrid;3250;2012;;;
1360-0478;Biocontrol Science and Technology;Hybrid;3250;2012;;;
1545-228X;Child & Family Behavior Therapy;Hybrid;3250;2012;;;
1545-2298;Child & Youth Services;Hybrid;3250;2012;;;
1476-489X;Child Care In Practice;Hybrid;3250;2012;;;
1744-4136;Child Neuropsychology;Hybrid;3250;2012;;;
1532-6888;Children'S Health Care;Hybrid;3250;2012;;;
1752-5101;China Journal Of Social Work;Hybrid;3250;2012;;;
1029-0249;Civil Engineering and Environmental Systems;Hybrid;3250;2012;;;
1756-5537;Climate & Development;Hybrid;3250;2012;;;
1752-7457;Climate Policy;Hybrid;3250;2012;;;
1545-2301;Clinical Gerontologist;Hybrid;3250;2012;;;
1385-4046;Clinical Neuropsychologist;Hybrid;3250;2012;;;
1545-231X;Clinical Supervisior (The);Hybrid;3250;2012;;;
1752-1890;Coaching: An International Journal of Theory, Research and Practice;Hybrid;3250;2012;;;
1745-3755;CoDesign;Hybrid;3250;2012;;;
1464-0600;Cognition and Emotion;Hybrid;3250;2012;;;
1651-2316;Cognitive Behavior Therapy;Hybrid;3250;2012;;;
1464-0619;Cognitive Neuropsychiatry;Hybrid;3250;2012;;;
1464-0627;Cognitive Neuropsychology;Hybrid;3250;2012;;;
1758-8936;Cognitive Neuroscience;Hybrid;3250;2012;;;
1741-3559;Combustion Theory and Modelling;Hybrid;3250;2012;;;
1548-9574;Comments on Inorganic Chemistry;Hybrid;3250;2012;;;
1532-4125;Communications in Algebra;Hybrid;3250;2012;;;
1532-4133;Communications in Partial Differential Equations;Hybrid;3250;2012;;;
1532-4141;Communications in Statistics: Simulation & Computation;Hybrid;3250;2012;;;
1532-415X;Communications in Statistics: Theory and Methods;Hybrid;3250;2012;;;
2164-232X;Complex Metals;Open Access;;2012;;;
1747-6941;Complex Variables;Hybrid;3250;2012;;;
1748-670;Computational & Mathematical Methods in Medicine;Hybrid;3250;2012;;;
1360-0494;Connection Science;Hybrid;3250;2012;;;
1466-433X;Construction Management and Economics;Hybrid;3250;2012;;;
1746-1405;Counselling & Psychotherapy Research;Hybrid;3250;2012;;;
1469-3674;Counselling Psychology Quarterly;Hybrid;3250;2012;;;
1469-3682;Critical Public Health;Hybrid;3250;2012;;;
1547-6537;Critical Reviews in Environmental Science & Technology;Hybrid;3250;2012;;;
1549-7852;Critical Reviews in Food Science and Nutrition;Hybrid;3250;2012;;;
1464-5351;Culture, Health and Sexuality;Hybrid;3250;2012;;;
1091-7683;Death Studies;Hybrid;3250;2012;;;
1944-3986;Desalination and Water Treatment;Hybrid;3250;2012;;;
1364-9213;Development in Practice;Hybrid;3250;2012;;;
1532-6942;Developmental Neuropsychology;Hybrid;3250;2012;;;
2159-9149;Distinktion: Scandinavian Journal of Social Theory;Hybrid;3250;2012;;;
2157-1430;Dramatherapy;Hybrid;3250;2012;;;
1468-9375;Dynamical Systems: An International Journal;Hybrid;3250;2012;;;
1746-7594;Dynamics Of Asymmetric Conflict;Hybrid;3250;2012;;;
1532-530X;Eating Disorders;Hybrid;3250;2012;;;
1532-6969;Ecological Psychology;Hybrid;3250;2012;;;
1029-0273;Engineering Optimization;Hybrid;3250;2012;;;
2157-3735;Engineering Project Organization Journal;Hybrid;3250;2012;;;
2029-8838;Engineering Structures and Technologies:;Hybrid;3250;2012;;;
1751-7583;Enterprise Information Systems;Hybrid;3250;2012;;;
1752-4040;Environmental Communication;Hybrid;3250;2012;;;
1878-0059;Environmental Hazards;Hybrid;3250;2012;;;
2162-2523;Environmental Technology Reviews;Hybrid;3250;2012;;;
1366-5847;Ergonomics;Hybrid;3250;2012;;;
1532-7019;Ethics & Behavior;Hybrid;3250;2012;;;
1749-6543;Ethics & Social Welfare;Hybrid;3250;2012;;;
1465-3419;Ethnicity & Health;Hybrid;3250;2012;;;
1828-7131;Ethology, Ecology and Evolution;Hybrid;3250;2012;;;
1740-5610;European Journal of Developmental Psychology;Hybrid;3250;2012;;;
1469-5898;European Journal of Engineering Education;Hybrid;3250;2012;;;
2116-7214;European Journal of Environmental and Civil Engineering;Hybrid;3250;2012;;;
1469-5901;European Journal Of Psychotherapy & Councelling;Hybrid;3250;2012;;;
1468-2664;European Journal Of Social Work;Hybrid;3250;2012;;;
1464-0643;European Journal of Work & Organizational Psychology;Hybrid;3250;2012;;;
1748-9547;Evidence Based Communication Assessment And Intervention;Hybrid;3250;2012;;;
1096-4657;Experimental Aging Research;Hybrid;3250;2012;;;
1942-4639;Family Science;Hybrid;3250;2012;;;
1563-5112;Ferroelectrics;Hybrid;3250;2012;;;
1563-5228;Ferroelectrics Letters Section;Hybrid;3250;2012;;;
1096-4681;Fiber and Integrated Optics;Hybrid;3250;2012;;;
1548-8446;Fisheries;Hybrid;3250;2012;;;
