issn;journal_title;oa_model;apc;year;;;
1467-6281;Abacus;Hybrid;2500;2017;;;
1553-2712;Academic Emergency Medicine;Hybrid;3000;2017;;;
1467-629X;Accounting & Finance;Hybrid;3000;2017;;;
1911-3838;Accounting Perspectives;Hybrid;3000;2017;;;
1399-6576;Acta Anaesthesiologica Scandinavica;Hybrid;3800;2017;;;
1600-0390;Acta Archaeologica;Hybrid;3000;2017;;;
2053-2296;Acta Crystallograhica Section C: Crystal Structure Communications;Hybrid;3000;2017;;;
2053-2733;Acta Crystallographica Section A: Foundations of Crystallography;Hybrid;3000;2017;;;
2052-5206;Acta Crystallographica Section B: Structural Science;Hybrid;3000;2017;;;
2059-7983;Acta Crystallographica Section D: Biological Crystallography;Hybrid;3000;2017;;;
2053-230X;Acta Crystallographica Section F: Structural Biology and Crystallization Communications;Hybrid;3000;2017;;;
1755-6724;Acta Geologica Sinica (English Edition);Hybrid;3400;2017;;;
1600-0404;Acta Neurologica Scandinavica;Hybrid;3900;2017;;;
1600-0412;Acta Obstetricia et Gynecologica Scandinavica;Hybrid;4000;2017;;;
1755-3768;Acta Ophthalmologica;Hybrid;3000;2017;;;
1651-2227;Acta Paediatrica;Hybrid;3000;2017;;;
1748-1716;Acta Physiologica;Hybrid;3700;2017;;;
1600-0447;Acta Psychiatrica Scandinavica;Hybrid;4200;2017;;;
1463-6395;Acta Zoologica;Hybrid;3000;2017;;;
1360-0443;Addiction;Hybrid;3200;2017;;;
1369-1600;Addiction Biology;Hybrid;3000;2017;;;
2161-0029;Adultspan Journal;Hybrid;3000;2017;;;
2199-160X;Advanced Electronic Materials ;Hybrid;3500;2017;;;
1614-6840;Advanced Energy Materials;Hybrid;5000;2017;;;
1527-2648;Advanced Engineering Materials;Hybrid;3500;2017;;;
1616-3028;Advanced Functional Materials;Hybrid;5000;2017;;;
2192-2659;Advanced Healthcare Materials;Hybrid;3500;2017;;;
1521-4095;Advanced Materials;Hybrid;5000;2017;;;
2196-7350;Advanced Materials Interfaces;Hybrid;3500;2017;;;
2365-709X;Advanced Materials Technologies;Hybrid;3500;2017;;;
